Red curve_x,Red curve_y
321.5129871368,589.
321.7577629089,542.
322.0025386810,581.
322.2473144531,605.
322.4920902252,550.
322.7368659973,531.
322.9816417694,596.
323.2264175415,590.
323.4711933136,571.
323.7159690857,598.
323.9607448578,575.
324.2055206299,604.
324.450296402,612.
324.6950721741,586.
324.9398479462,568.
325.1846237183,579.
325.4293994904,621.
325.6741752625,604.
325.9189510345,567.
326.1637268066,561.
326.4085025787,575.
326.6532783508,582.
326.8980541229,572.
327.1428298950,627.
327.3876056671,655.
327.6323814392,658.
327.8771572113,630.
328.1219329834,617.
328.3667087555,628.
328.6114845276,634.
328.8562602997,636.
329.1010360718,593.
329.3458118439,632.
329.590587616,564.
329.8353633881,578.
330.0801391602,649.
330.3249149323,602.
330.5696907043,614.
330.8144664764,610.
331.0592422485,633.
331.3040180206,623.
331.5487937927,624.
331.7935695648,602.
332.0383453369,607.
332.2831211090,633.
332.5278968811,632.
332.7726726532,605.
333.0174484253,566.
333.2622241974,611.
333.5069999695,624.
333.7517757416,653.
333.9965515137,682.
334.2413272858,719.
334.4861030579,900.
334.73087883,1589.
334.9756546021,2974.
335.2204303741,3440.
335.4652061462,2520.
335.7099819183,1794.
335.9547576904,1561.
336.1995334625,1582.
336.4443092346,1553.
336.6890850067,1500.
336.9338607788,1665.
337.1786365509,1695.
337.423412323,1463.
337.6681880951,1268.
337.9129638672,1148.
338.1577396393,1089.
338.4025154114,1004.
338.6472911835,900.
338.8920669556,861.
339.1368427277,857.
339.3816184998,796.
339.6263942719,756.
339.8711700439,720.
340.1159458160,665.
340.3607215881,672.
340.6054973602,700.
340.8502731323,695.
341.0950489044,698.
341.3398246765,693.
341.5846004486,663.
341.8293762207,695.
342.0741519928,665.
342.3189277649,654.
342.563703537,698.
342.8084793091,677.
343.0532550812,674.
343.2980308533,660.
343.5428066254,585.
343.7875823975,610.
344.0323581696,645.
344.2771339417,663.
344.5219097137,669.
344.7666854858,677.
345.0114612579,684.
345.2562370300,659.
